City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,san patricio,28.017,-97.5169,30.92,71,0,5.51,US,1693969335
273,kosh-agach,50.0,88.6667,9.04,51,79,0.77,RU,1693969336
274,streator,41.1209,-88.8354,24.44,89,76,0.89,US,1693969336
275,udachny,66.4167,112.4,0.25,100,99,6.77,RU,1693969336
276,hidrolandia,-4.4081,-40.4378,23.98,63,85,2.1,BR,1693969337
277,uturoa,-16.7333,-151.4333,24.84,84,94,10.73,PF,1693969337
278,paita,-5.0892,-81.1144,20.06,84,50,5.84,PE,1693969337
279,tazovsky,67.4667,78.7,7.36,76,11,2.72,RU,1693969337
280,manokwari,-0.8667,134.0833,27.21,79,23,1.24,ID,1693969338
281,puerto santa,-8.9906,-78.6456,19.4,83,40,4.78,PE,1693969338
282,sidi ifni,29.3797,-10.173,20.55,78,84,2.5,MA,1693969338
283,recani,31.2846,-4.2688,26.92,24,31,3.69,MA,1693969338
284,karratha,-20.7377,116.8463,25.48,32,19,1.78,AU,1693969338
285,takoradi,4.8845,-1.7554,23.69,92,90,2.62,GH,1693969338
286,pechory,57.8164,27.6119,15.7,85,81,4.31,RU,1693969339
287,megion,61.0296,76.1136,7.01,68,99,5.29,RU,1693969339
288,margate,51.3813,1.3862,18.5,96,4,1.34,GB,1693969339
289,yaren,-0.5472,166.916,29.27,74,68,7.32,NR,1693969340
290,challapata,-18.9,-66.7667,8.82,42,100,3.15,BO,1693969340
291,rongelap,11.1635,166.8941,28.13,78,93,4.73,MH,1693969340
292,vila velha,-20.3297,-40.2925,24.97,87,75,3.6,BR,1693969226
293,lumphat,13.4878,106.9816,26.24,94,100,1.16,KH,1693969341
294,mil'kovo,55.6078,37.7956,14.22,77,97,4.1,RU,1693969341
295,colares,38.7992,-9.4469,19.55,86,14,12.52,PT,1693969341
296,brokopondo,4.75,-55.1667,25.87,78,14,4.51,SR,1693969341
297,fort st. john,56.2499,-120.8529,12.94,50,75,3.6,CA,1693969253
298,grand baie,-20.0182,57.5802,21.26,76,2,1.34,MU,1693969263
299,sao jose da coroa grande,-8.8978,-35.1478,23.55,83,2,3.82,BR,1693969342
300,smirnovo,54.5125,69.4222,8.01,84,100,4.08,KZ,1693969342
301,kharkhorin,47.1975,102.8238,22.82,39,100,4.64,MN,1693969342
302,kanniyakumari,8.0833,77.5667,25.98,82,100,6.48,IN,1693969342
303,passagem franca,-6.1797,-43.7836,24.03,37,0,1.72,BR,1693969343
304,kerikeri,-35.2268,173.9474,20.51,85,23,2.24,NZ,1693969343
305,axim,4.8699,-2.2405,23.8,92,63,2.68,GH,1693969343
306,dakhla,23.6848,-15.958,21.06,85,85,7.66,EH,1693969343
307,falam,22.9167,93.6833,20.12,90,100,1.31,MM,1693969344
308,apple valley,34.5008,-117.1859,24.39,55,0,4.75,US,1693969051
309,mildura,-34.2,142.15,22.82,35,5,7.03,AU,1693969344
310,richards bay,-28.783,32.0377,18.92,51,100,7.01,ZA,1693969344
311,sur,22.5667,59.5289,29.39,65,6,1.68,OM,1693969344
312,port shepstone,-30.7414,30.455,15.36,39,2,7.67,ZA,1693969345
313,barcelos,41.5388,-8.6151,20.47,85,99,1.43,PT,1693969345
314,king city,36.2127,-121.126,16.46,51,0,2.81,US,1693969345
315,san mariano,7.5,126.0,27.22,83,100,1.03,PH,1693969345
316,preobrazheniye,42.9019,133.9064,23.95,47,0,0.25,RU,1693969345
317,tromso,69.6496,18.957,8.01,81,100,3.6,NO,1693969346
318,iskateley,67.6803,53.1512,12.6,96,100,5.06,RU,1693969346
319,pahrump,36.2083,-115.9839,28.47,31,0,0.89,US,1693969346
320,hammamet,36.4,10.6167,22.92,66,0,8.03,TN,1693969347
321,balsas,-7.5325,-46.0356,25.57,30,17,1.59,BR,1693969233
322,strezhevoy,60.7333,77.5889,9.42,70,100,1.34,RU,1693969347
323,labytnangi,66.6572,66.4183,9.67,67,89,2.3,RU,1693969347
324,cadale,2.7603,46.3222,25.19,89,28,8.59,SO,1693969347
325,la passe,45.5549,-0.8967,22.13,63,3,3.98,FR,1693969348
326,al bawiti,28.3492,28.8659,26.47,30,0,1.82,EG,1693969348
327,pochinok,54.4068,32.4407,15.14,71,97,4.28,RU,1693969348
328,yuzhno-kurilsk,44.0306,145.8556,19.52,89,100,2.53,RU,1693969348
329,ometepec,16.6833,-98.4167,22.96,97,100,1.0,MX,1693969349
330,farasan,16.7022,42.1183,31.49,79,10,6.69,SA,1693969349
331,chinchilla,-26.75,150.6333,28.15,31,5,3.19,AU,1693969349
332,broome,42.2506,-75.833,23.68,85,3,0.72,US,1693969350
333,taro,-8.3862,115.28,23.0,75,78,2.08,ID,1693969350
334,pankovka,58.5,31.1999,15.12,82,100,5.12,RU,1693969350
335,christchurch,-43.5333,172.6333,17.73,48,100,7.2,NZ,1693969061
336,cheria,35.2731,7.7519,16.12,49,0,3.75,DZ,1693969351
337,coahuayana de hidalgo,18.7,-103.6583,26.34,89,97,2.35,MX,1693969351
338,latur,18.4,76.5833,24.68,79,98,5.69,IN,1693969351
339,alcudia,39.8532,3.1214,24.03,67,9,2.73,ES,1693969351
